,offensive_language_proba,hate_speech_proba,neither_proba,tweet
0,0.0,0.0,1.0,rt mayasolovely woman complain cleaning house amp man always take trash
1,1.0,0.0,0.0,rt mleew17 boy dat cold tyga dwn bad cuffin dat hoe 1st place
2,1.0,0.0,0.0,rt urkindofbrand dawg rt 80sbaby4life ever fuck bitch start cry confused shit
3,0.6666666666666666,0.0,0.3333333333333333,rt c_g_anderson viva_based look like tranny
4,1.0,0.0,0.0,rt shenikaroberts shit hear might true might faker bitch told ya 57361
5,0.6666666666666666,0.3333333333333333,0.0,t_madison_x shit blow claim faithful somebody still fucking hoe 128514 128514 128514
6,1.0,0.0,0.0,__brighterdays sit hate another bitch got much shit going
7,1.0,0.0,0.0,8220 selfiequeenbri cause tired big bitch coming u skinny girl 8221
8,1.0,0.0,0.0,amp might get ya bitch back amp thats
9,0.6666666666666666,0.3333333333333333,0.0,rhythmixx_ hobby include fighting mariam bitch
10,1.0,0.0,0.0,keeks bitch curve everyone lol walked conversation like smh
11,1.0,0.0,0.0,murda gang bitch gang land
12,0.6666666666666666,0.0,0.3333333333333333,hoe smoke loser yea go ig
13,1.0,0.0,0.0,bad bitch thing like
14,0.6666666666666666,0.3333333333333333,0.0,bitch get
15,1.0,0.0,0.0,bitch nigga miss
16,1.0,0.0,0.0,bitch plz whatever
17,0.6666666666666666,0.3333333333333333,0.0,bitch love
18,1.0,0.0,0.0,bitch get cut everyday b
19,1.0,0.0,0.0,black bottle amp bad bitch
20,1.0,0.0,0.0,broke bitch cant tell nothing
21,1.0,0.0,0.0,cancel bitch like nino
22,1.0,0.0,0.0,cant see hoe wont change
23,1.0,0.0,0.0,fuck bitch dont even suck dick 128514 128514 128514 kermit video bout fuck ig
24,1.0,0.0,0.0,got ya bitch tip toeing hardwood floor 128514 http co cou2wq5l4q
25,0.6666666666666666,0.0,0.3333333333333333,pussy lip like heaven door 128524
26,1.0,0.0,0.0,hoe hitting
27,1.0,0.0,0.0,met pussy ocean dr gave pussy pill 128524
28,1.0,0.0,0.0,need trippy bitch fuck hennessy
29,1.0,0.0,0.0,spend money want bitch business
30,1.0,0.0,0.0,txt old bitch new bitch pussy wetter
31,1.0,0.0,0.0,say im back old old bitch would get excited 128524
32,1.0,0.0,0.0,aint bout murder game pussy nigga shut
33,1.0,0.0,0.0,toe done pussy stink
34,1.0,0.0,0.0,im done bitter bitch wrap angry bird there app
35,1.0,0.0,0.0,ya bitch
36,1.0,0.0,0.0,aint nothing cut bitch
37,1.0,0.0,0.0,jus meet son ya mane as bitch shot
38,0.6666666666666666,0.0,0.3333333333333333,lame cry hoe thats tear clown
39,1.0,0.0,0.0,like snoop said 94 dont love hoe
